CID,name,角色属性-中文,角色属性,角色特性,角色阵营,支援类型,组队被动条件,基础生命值,基础攻击力,基础防御力,基础暴击率,基础暴击伤害,基础暴击分数,基础异常掌控,基础异常精通,基础穿透率,基础穿透值,基础能量自动回复,基础冲击力
1011,安比,电,3,击破,狡兔屋,招架,,7498.2,683.9277778,618.3,0.05,0.5,60,88,100,0,0,1.2,136
1021,猫又,物理,0,强攻,狡兔屋,招架,,7561.5,909.924026,586.6,0.194,0.5,88.8,105,105,0,0,1.2,92
1031,妮可,以太,4,支援,狡兔屋,招架,,8147.1,648.9018518,623.2,0.05,0.5,60,98,100,0,0,1.56,88
1041,11号,火,1,强攻,奥伯勒斯小队,招架,,7672.3,887.9222196,613.3,0.194,0.5,88.8,103,100,0,0,1.2,93
1061,可琳,物理,0,强攻,维多利亚家政,招架,,6975.9,806.9574074,605.4,0.05,0.788,88.8,101,105,0,0,1.2,93
1081,比利,物理,0,强攻,狡兔屋,回避,,6909.6,786.938889,605.4,0.194,0.5,88.8,98,102,0,0,1.2,91
1101,珂蕾妲,火,1,击破,白祇重工,招架,,8128.3,734.9268,595.5,0.05,0.5,60,91,105,0,0,1.2,134
1111,安东,电,3,强攻,白祇重工,招架,,7221.2,787.9555555,623.2,0.194,0.5,88.8,94,100,0,0,1.2,95
1121,本,火,1,防护,白祇重工,招架,,8578.4,866.9388889,724.1,0.05,0.5,60,80,100,0,0,1.2,95
1131,苍角,冰,2,支援,对空洞特别行动部第六课,招架,,8027.4,664.9719,596.5,0.05,0.5,60,100,105,0,0,1.2,86
1141,莱卡恩,冰,2,击破,维多利亚家政,招架,,8415.2,727.9915,605.4,0.05,0.5,60,84,100,0,0,1.2,137
1181,格莉丝,电,3,异常,白祇重工,回避,,7480.4,901.6,603.4,0.05,0.5,60,152,120,0,0,1.2,83
1191,艾莲,冰,2,强攻,维多利亚家政,招架,,7672.3,937.9683,605.4,0.194,0.5,88.8,102,100,0,0,1.2,93
1211,丽娜,电,3,支援,维多利亚家政,回避,,8607.1,716.9833329,603.4,0.05,0.5,60,102,102,0.144,0,1.2,83
1241,朱鸢,以太,4,强攻,刑侦特勤组,回避,,7482,918.9333335,600,0.05,0.788,88.8,93,92,0,0,1.2,90
0,露西,火,1,支援,卡吕冬之子,招架,,7974.05,584.842,613.3684,0.05,0.5,60,93,93,0,0,1.56,86
1261,派派,物理,0,异常,卡吕冬之子,招架,,6976,683,612,0.05,0.5,60,116,118,0,0,1.2,86
1300,青衣,电,3,击破,刑侦特勤组,招架,,8251,758,613,0.05,0.5,60,93,94,0,0,1.2,136
1301,简,物理,0,异常,刑侦特勤组,招架,,7789,881,607,0.05,0.5,60,150,112,0,0,1.2,86
1302,塞斯,电,3,防护,刑侦特勤组,招架,,8701,643,746,0.05,0.5,60,90,86,0,0,1.56,94
6121,凯撒,物理,0,防护,卡吕冬之子,招架,,9526,712,754,0.05,0.5,60,87,90,0,0,1.2,123
1171,柏妮思,火,1,异常,卡吕冬之子,招架,,7368.1929,863.4528,600.5916,0.05,0.5,60,118,120,0,0,1.56,83
1221,柳,电,3,异常,对空洞特别行动部第六课,招架,,7789,873,613,0.05,0.5,60,148,114,0,0,1.2,86
1161,莱特,火,1,击破,卡吕冬之子,招架,,8253.2915,797.9569,612.6038,0.05,0.5,60,91,90,0,0,1.2,137
1091,雅,烈霜,5,异常,对空洞特别行动部第六课,招架,,7673.7042,880.6952,606.5977,0.05,0.5,60,122,118,0,0,1.2,86
